ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,3752,5600730,33-Town: Remote
ALBANY ISD,Texas,474,4807680,43-Rural: Remote
ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,New York,383,3601006,12-City: Mid-size
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,1744,2702930,42-Rural: Distant
ALBANY R-III,Missouri,450,2902970,43-Rural: Remote
ALBANY SCHOOL DISTRICT,Wisconsin,300,5500120,42-Rural: Distant
ALBANY SCHOOL DISTRICT,New Hampshire,†,3301350,33-Town: Remote
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,0,3680100,21-Suburb: Large
ALBEMARLE COUNTY PUBLIC SCHOOLS,Virginia,14149,5100090,41-Rural: Fringe
ALBERS SD 63,Illinois,154,1703270,42-Rural: Distant
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,100,1900031,43-Rural: Remote
ALBERT EINSTEIN ACADEMIES DISTRICT,CALIFORNIA,1448,0601896,11-City: Large
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,297,3901539,21-Suburb: Large
ALBERT EINSTEIN ACADEMY OF ARIZONA (1002310),ARIZONA,0,0409748,12-City: Mid-size
ALBERT GALLATIN AREA SD,Pennsylvania,2894,4202100,42-Rural: Distant
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,3335,2702970,33-Town: Remote
ALBERTON K-12 SCHOOLS,Montana,164,3001860,42-Rural: Distant
ALBERTVILLE CITY,Alabama,5910,0100005,32-Town: Distant
ALBIA COMM SCHOOL DISTRICT,Iowa,1123,1903270,43-Rural: Remote
ALBION,Oklahoma,26,4002580,43-Rural: Remote
ALBION CENTRAL SCHOOL DISTRICT,New York,1767,3602520,32-Town: Distant
ALBUQUERQUE,New Mexico,74792,3500060,11-City: Large
ALBUQUERQUE AVIATION ACADEMY,New Mexico,312,3500151,41-Rural: Fringe
ALBUQUERQUE BILINGUAL ACADEMY,New Mexico,328,3500134,11-City: Large
ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,NEW MEXICO,221,3500181,11-City: Large
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,311,3500130,11-City: Large
ALBURGH SCHOOL DISTRICT,Vermont,212,5001770,43-Rural: Remote
ALBURNETT COMM SCHOOL DISTRICT,Iowa,857,1903300,41-Rural: Fringe
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,351,4600028,43-Rural: Remote
ALCOA,Tennessee,2270,4700060,21-Suburb: Large
ALCONA COMMUNITY SCHOOLS,Michigan,687,2602160,42-Rural: Distant
ALCORN SCHOOL DISTRICT,Mississippi,3226,2800390,42-Rural: Distant
ALDEN CENTRAL SCHOOL DISTRICT,New York,1481,3602550,41-Rural: Fringe
ALDEN COMM SCHOOL DISTRICT,Iowa,148,1900032,42-Rural: Distant
ALDEN HEBRON SD 19,Illinois,421,1703300,42-Rural: Distant
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,444,2703030,42-Rural: Distant
ALDER ELEM,Montana,11,3017460,43-Rural: Remote
ALDER GROVE CHARTER SCHOOL 2 DISTRICT,CALIFORNIA,481,0602072,33-Town: Remote
ALDINE ISD,Texas,56419,4807710,21-Suburb: Large
ALDO LEOPOLD CHARTER,New Mexico,201,3500138,33-Town: Remote
ALEDO ISD,Texas,8430,4807780,31-Town: Fringe
ALEGENT/IMMANUEL RTC,Nebraska,0,3100181,11-City: Large
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,21,0200010,43-Rural: Remote
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,178,0200007,43-Rural: Remote
ALEX,Oklahoma,320,4002670,42-Rural: Distant
ALEXANDER 2,North Dakota,309,3801760,43-Rural: Remote
