ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,New York,679,3600012,42-Rural: Distant
BOLTON CENTRAL SCHOOL DISTRICT,New York,166,3605010,41-Rural: Fringe
BOLTON SCHOOL DISTRICT,Connecticut,688,0900360,41-Rural: Fringe
BON HOMME SCHOOL DISTRICT 04-2,South Dakota,582,4607400,43-Rural: Remote
BONCL R-X,Missouri,39,2905400,43-Rural: Remote
BOND COUNTY CUSD 2,Illinois,1550,1717730,32-Town: Distant
BOND FAYETTE EFFINGHAM EFE 410,Illinois,†,1700234,33-Town: Remote
BONDUEL SCHOOL DISTRICT,Wisconsin,782,5501470,42-Rural: Distant
BONDURANT-FARRAR COMM SCHOOL DISTRICT,Iowa,2824,1905070,21-Suburb: Large
BONHAM ISD,Texas,2029,4810800,32-Town: Distant
BONITA ELEMENTARY DISTRICT (4224),Arizona,94,0401260,43-Rural: Remote
BONITA UNIFIED,California,9944,0605610,21-Suburb: Large
BONNER ELEM,Montana,327,3004260,23-Suburb: Small
BONNER SPRINGS,Kansas,2535,2004050,21-Suburb: Large
BONNEVILLE ACADEMY,UTAH,337,4900195,32-Town: Distant
BONNEVILLE JOINT DISTRICT,Idaho,13577,1600930,22-Suburb: Mid-size
BONNIE CONE CLASSICAL ACADEMY,NORTH CAROLINA,642,3700449,11-City: Large
BONNIE CONE LEADERSHIP ACADEMY,NORTH CAROLINA,1269,3700479,41-Rural: Fringe
BONNY DOON UNION ELEMENTARY,California,92,0605640,41-Rural: Fringe
BONSALL UNIFIED,CALIFORNIA,2281,0601426,21-Suburb: Large
BOOKER ISD,Texas,343,4810830,43-Rural: Remote
BOOKER T. WASHINGTON ACADEMY DISTRICT,CONNECTICUT,404,0900217,12-City: Mid-size
BOONE CENTRAL SCHOOLS,Nebraska,603,3102820,43-Rural: Remote
BOONE COMM SCHOOL DISTRICT,Iowa,1978,1905130,31-Town: Fringe
BOONE COUNTY,Kentucky,20514,2100510,21-Suburb: Large
BOONE COUNTY SCHOOLS,West Virginia,3048,5400090,42-Rural: Distant
BOONE-APACHE,Oklahoma,504,4005010,42-Rural: Distant
BOONE/WINNEBAGO ROE,Illinois,0,1700166,21-Suburb: Large
BOONEVILLE SCHOOL DISTRICT,Arkansas,1355,0503450,42-Rural: Distant
BOONEVILLE SCHOOL DISTRICT,Mississippi,1337,2800820,33-Town: Remote
BOONTON TOWN PUBLIC SCHOOL DISTRICT,New Jersey,1559,3401950,21-Suburb: Large
BOONTON TOWNSHIP SCHOOL DISTRICT,New Jersey,401,3401980,21-Suburb: Large
BOONVILLE R-I,Missouri,1662,2905580,32-Town: Distant
BOOTHBAY-BOOTHBAY HBR CSD,Maine,479,2303290,32-Town: Distant
BOQUET VALLEY CSD,NEW YORK,396,3601189,42-Rural: Distant
BORDEN COUNTY ISD,Texas,249,4810860,43-Rural: Remote
BORDEN-HENRYVILLE SCHOOL CORPORATION,INDIANA,1733,1800212,42-Rural: Distant
BORDENTOWN REGIONAL SCHOOL DISTRICT,New Jersey,2214,3402030,21-Suburb: Large
BORGER ISD,Texas,2325,4810890,32-Town: Distant
BORREGO SPRINGS UNIFIED,California,344,0605700,42-Rural: Distant
BOSCOBEL AREA SCHOOL DISTRICT,Wisconsin,651,5501500,43-Rural: Remote
BOSQUEVILLE ISD,Texas,729,4810910,41-Rural: Fringe
BOSSIER PARISH,Louisiana,22224,2200270,13-City: Small
BOSTON,Massachusetts,46094,2502790,11-City: Large
BOSTON COLLEGIATE CHARTER,Massachusetts,708,2500053,11-City: Large
BOSTON DAY AND EVENING ACADEMY CHARTER,Massachusetts,323,2500049,11-City: Large
BOSTON GREEN ACADEMY HORACE MANN CHARTER SCHOOL,Massachusetts,426,2500526,11-City: Large
BOSTON PREPARATORY CHARTER PUBLIC,Massachusetts,700,2500080,11-City: Large
BOSTON RENAISSANCE CHARTER PUBLIC,Massachusetts,938,2500039,11-City: Large
BOSTONIA GLOBAL DISTRICT,CALIFORNIA,1266,0602562,21-Suburb: Large
BOSWELL,Oklahoma,278,4005040,43-Rural: Remote
BOSWORTH R-V,Missouri,50,2905610,43-Rural: Remote
BOTETOURT COUNTY PUBLIC SCHOOLS,Virginia,4424,5100420,41-Rural: Fringe
BOTKINS LOCAL,Ohio,584,3904976,42-Rural: Distant
BOTTINEAU 1,North Dakota,671,3803060,43-Rural: Remote
BOULDER ELEM,Montana,215,3004380,42-Rural: Distant
BOULDER RE-1J ST VRAIN AU,Colorado,†,0800263,22-Suburb: Mid-size
BOULDER RE-2 BOULDER AU,Colorado,†,0800227,12-City: Mid-size
BOULDER VALLEY SCHOOL DISTRICT NO. RE2,Colorado,27988,0802490,12-City: Mid-size
BOUND BROOK SCHOOL DISTRICT,New Jersey,2070,3402100,21-Suburb: Large
BOUNDARY COUNTY DISTRICT,Idaho,1455,1600420,43-Rural: Remote
BOURBON COUNTY,Kentucky,2557,2100540,32-Town: Distant
BOURBONNAIS SD 53,Illinois,2276,1706750,23-Suburb: Small
BOURNE,Massachusetts,1519,2502820,21-Suburb: Large
BOUSE ELEMENTARY DISTRICT (4513),Arizona,52,0401290,43-Rural: Remote
BOVINA ISD,Texas,422,4810950,43-Rural: Remote
BOW SCHOOL DISTRICT,New Hampshire,1690,3301950,31-Town: Fringe
BOWBELLS 14,North Dakota,92,3803090,43-Rural: Remote
BOWDLE SCHOOL DISTRICT 22-1,South Dakota,90,4607800,43-Rural: Remote
BOWERBANK PUBLIC SCHOOLS,Maine,0,2303390,23-Suburb: Small
BOWIE ISD,Texas,1503,4810990,33-Town: Remote
BOWIE UNIFIED DISTRICT (4171),Arizona,73,0401330,43-Rural: Remote
BOWLEGS,Oklahoma,254,4005130,42-Rural: Distant
BOWLER SCHOOL DISTRICT,Wisconsin,304,5501560,43-Rural: Remote
BOWLING GREEN CITY SCHOOL DISTRICT,Ohio,2537,3904363,31-Town: Fringe
BOWLING GREEN INDEPENDENT,Kentucky,4831,2100570,13-City: Small
BOWLING GREEN R-I,Missouri,1325,2905660,43-Rural: Remote
BOWMAN CO 1,North Dakota,508,3803200,43-Rural: Remote
BOWRING,Oklahoma,52,4005160,42-Rural: Distant
BOX ELDER DISTRICT,Utah,12554,4900090,31-Town: Fringe
BOX ELDER ELEM,Montana,298,3004440,43-Rural: Remote
BOX ELDER H S,Montana,86,3004500,43-Rural: Remote
BOXFORD,Massachusetts,778,2502880,41-Rural: Fringe
BOYCEVILLE COMMUNITY SCHOOL DISTRICT,Wisconsin,693,5501590,42-Rural: Distant
BOYD COUNTY,Kentucky,2994,2100620,22-Suburb: Mid-size
BOYD COUNTY SCHOOLS,NEBRASKA,305,3100187,43-Rural: Remote
BOYD ISD,Texas,1386,4811010,42-Rural: Distant
BOYDEN-HULL COMM SCHOOL DISTRICT,Iowa,594,1905190,42-Rural: Distant
BOYER VALLEY COMM SCHOOL DISTRICT,Iowa,427,1909570,43-Rural: Remote
BOYERTOWN AREA SD,Pennsylvania,6375,4203960,21-Suburb: Large
BOYLE COUNTY,Kentucky,2951,2100630,32-Town: Distant
BOYNE CITY PUBLIC SCHOOLS,Michigan,1220,2606500,32-Town: Distant
BOYNE FALLS PUBLIC SCHOOL DISTRICT,Michigan,197,2606510,41-Rural: Fringe
BOYS PREPARATORY CHARTER SCHOOL OF NEW YORK,NEW YORK,546,3601115,11-City: Large
BOYS RANCH ISD,Texas,148,4811040,43-Rural: Remote
BOYS TOWN INTERIM PRG SCHS,Nebraska,0,3100146,21-Suburb: Large
BOYS' LATIN OF PHILADELPHIA CS,Pennsylvania,747,4200760,11-City: Large
BOZEMAN ELEM,Montana,4657,3004560,13-City: Small
BOZEMAN H S,Montana,2790,3004590,41-Rural: Fringe
BOZRAH SCHOOL DISTRICT,Connecticut,180,0900390,22-Suburb: Mid-size
BRACEVILLE SD 75,Illinois,130,1706840,31-Town: Fringe
BRACKEN COUNTY,Kentucky,1133,2100660,42-Rural: Distant
BRACKETT ISD,Texas,521,4811070,43-Rural: Remote
BRADFORD,Tennessee,630,4701390,42-Rural: Distant
BRADFORD,Florida,2848,1200120,32-Town: Distant
BRADFORD ACADEMY,Michigan,678,2600284,13-City: Small
BRADFORD AREA SD,Pennsylvania,2240,4204020,33-Town: Remote
BRADFORD CENTRAL SCHOOL DISTRICT,New York,257,3605220,42-Rural: Distant
BRADFORD CUSD 1,Illinois,168,1706880,42-Rural: Distant
BRADFORD EXEMPTED VILLAGE,Ohio,513,3904522,42-Rural: Distant
BRADFORD PREPARATORY SCHOOL,North Carolina,1566,3700356,21-Suburb: Large
BRADFORD SCHOOL DISTRICT,Arkansas,434,0503480,43-Rural: Remote
BRADLEY BEACH SCHOOL DISTRICT,New Jersey,193,3402130,21-Suburb: Large
BRADLEY BOURBONNAIS CHSD 307,Illinois,1914,1706960,23-Suburb: Small
BRADLEY COUNTY,Tennessee,10202,4700330,41-Rural: Fringe
BRADLEY SD 61,Illinois,1278,1706930,23-Suburb: Small
BRADLEY UNION ELEMENTARY,California,54,0605730,42-Rural: Distant
BRADLEYVILLE R-I,Missouri,205,2905700,42-Rural: Distant
BRADY ISD,Texas,935,4811110,41-Rural: Fringe
BRADY PUBLIC SCHOOLS,Nebraska,187,3104290,43-Rural: Remote
BRAGGS,Oklahoma,144,4005280,42-Rural: Distant
BRAHAM PUBLIC SCHOOL DISTRICT,Minnesota,783,2706060,42-Rural: Distant
BRAINERD PUBLIC SCHOOL DISTRICT,Minnesota,6079,2706090,33-Town: Remote
BRAINTREE,Massachusetts,5209,2502940,21-Suburb: Large
BRANCH ISD,Michigan,567,2680180,32-Town: Distant
BRANCH LINE SCHOOL,Michigan,141,2601042,13-City: Small
BRANCHBURG TOWNSHIP SCHOOL DISTRICT,New Jersey,1396,3402160,21-Suburb: Large
BRANDON SCHOOL DISTRICT IN THE COUNTIES OF OAKLAND AND LAPEE,Michigan,2032,2606570,41-Rural: Fringe
BRANDON VALLEY SCHOOL DISTRICT 49-2,South Dakota,5115,4607950,31-Town: Fringe
BRANDON-EVANSVILLE PUBLIC SCHOOLS,Minnesota,552,2700382,42-Rural: Distant
BRANDYWINE COMMUNITY SCHOOLS,Michigan,1301,2606600,21-Suburb: Large
BRANDYWINE HEIGHTS AREA SD,Pennsylvania,1250,4204050,41-Rural: Fringe
BRANDYWINE SCHOOL DISTRICT,Delaware,10349,1001240,21-Suburb: Large
BRANFORD SCHOOL DISTRICT,Connecticut,2567,0900420,21-Suburb: Large
BRANSON R-IV,Missouri,4653,2905760,32-Town: Distant
BRANSON REORGANIZED SCHOOL DISTRICT NO. 82,Colorado,465,0802520,43-Rural: Remote
BRANTLEY COUNTY,Georgia,3375,1300480,42-Rural: Distant
BRASHER FALLS CENTRAL SCHOOL DISTRICT,New York,966,3627960,42-Rural: Distant
BRASS CITY CHARTER SCHOOL DISTRICT,Connecticut,401,0900215,12-City: Mid-size
BRAWLEY ELEMENTARY,California,3883,0605790,31-Town: Fringe
BRAWLEY UNION HIGH,California,2047,0605820,31-Town: Fringe
BRAXTON COUNTY SCHOOLS,West Virginia,1596,5400120,43-Rural: Remote
BRAY-DOYLE,Oklahoma,256,4005340,42-Rural: Distant
BRAYMER C-4,Missouri,281,2905820,43-Rural: Remote
BRAZOS ISD,Texas,866,4844470,42-Rural: Distant
BRAZOS RIVER CHARTER SCHOOL,Texas,61,4800214,42-Rural: Distant
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,Texas,300,4800086,11-City: Large
BRAZOSPORT ISD,Texas,11169,4811190,23-Suburb: Small
BREA-OLINDA UNIFIED,California,5753,0605880,21-Suburb: Large
BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,Virginia,†,5100099,32-Town: Distant
BREAKTHROUGH CHARTER SCHOOL,ALABAMA,375,0100208,43-Rural: Remote
BREAKTHROUGH MONTESSORI PCS,DISTRICT OF COLUMBIA,386,1100104,11-City: Large
BREATHITT COUNTY,Kentucky,1671,2100690,43-Rural: Remote
BRECKENRIDGE COMMUNITY SCHOOLS,Michigan,634,2606630,42-Rural: Distant
BRECKENRIDGE ISD,Texas,1374,4811220,33-Town: Remote
BRECKENRIDGE PUBLIC SCHOOL DISTRICT,Minnesota,576,2706150,33-Town: Remote
BRECKENRIDGE R-I,Missouri,63,2905850,43-Rural: Remote
BRECKINRIDGE COUNTY,Kentucky,2677,2100720,42-Rural: Distant
BRECKSVILLE-BROADVIEW HEIGHTS CITY,Ohio,3686,3904364,21-Suburb: Large
BREESE ESD 12,Illinois,607,1707010,32-Town: Distant
BREITUNG TOWNSHIP SCHOOL DISTRICT,Michigan,1945,2606720,33-Town: Remote
BREMEN CHSD 228,Illinois,4885,1707050,21-Suburb: Large
BREMEN CITY,Georgia,2342,1300510,32-Town: Distant
BREMEN PUBLIC SCHOOLS,Indiana,1497,1800900,42-Rural: Distant
BREMEN PUBLIC SCHOOLS,Maine,0,2303480,43-Rural: Remote
BREMERTON SCHOOL DISTRICT,Washington,4383,5300660,13-City: Small
BREMOND ISD,Texas,485,4811250,43-Rural: Remote
BRENHAM ISD,Texas,4872,4811280,32-Town: Distant
BRENTWOOD,Missouri,847,2905880,21-Suburb: Large
BRENTWOOD BOROUGH SD,Pennsylvania,1111,4204140,21-Suburb: Large
BRENTWOOD SCHOOL DISTRICT,New Hampshire,282,3302010,41-Rural: Fringe
BRENTWOOD UNION,California,10049,0605910,21-Suburb: Large
BRENTWOOD UNION FREE SCHOOL DISTRICT,New York,18462,3605280,21-Suburb: Large
BRET HARTE UNION HIGH,California,605,0605940,42-Rural: Distant
BREVARD,Florida,71198,1200150,21-Suburb: Large
BREVARD ACADEMY,North Carolina,435,3700068,32-Town: Distant
BREWER PUBLIC SCHOOLS,Maine,1490,2303510,23-Suburb: Small
BREWSTER,Massachusetts,439,2502970,21-Suburb: Large
BREWSTER,Kansas,124,2004080,43-Rural: Remote
BREWSTER CENTRAL SCHOOL DISTRICT,New York,3030,3605310,41-Rural: Fringe
BREWSTER SCHOOL DISTRICT,Washington,1001,5300690,43-Rural: Remote
BREWTON CITY,Alabama,1168,0100450,32-Town: Distant
BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,New York,1336,3605340,21-Suburb: Large
BRICK BUFFALO ACADEMY CHARTER SCHOOL,NEW YORK,72,3680975,11-City: Large
BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,8274,3402220,21-Suburb: Large
BRICOLAGE ACADEMY,LOUISIANA,965,2200289,11-City: Large
BRIDGE ACADEMY,Michigan,1304,2600306,21-Suburb: Large
BRIDGE ACADEMY OF SOUTHWEST MICHIGAN,MICHIGAN,112,2601136,23-Suburb: Small
BRIDGE BOSTON CHARTER SCHOOL,Massachusetts,329,2500527,11-City: Large
BRIDGE CITY ISD,Texas,3157,4811310,31-Town: Fringe
BRIDGE CREEK,Oklahoma,1929,4005400,42-Rural: Distant
BRIDGE ELEMENTARY SCHOOL,UTAH,558,4900202,21-Suburb: Large
BRIDGE GATE COMMUNITY SCHOOL,OHIO,199,3901582,11-City: Large
BRIDGE PREPARATORY CHARTER SCHOOL,NEW YORK,263,3601213,11-City: Large
BRIDGEHAMPTON UNION FREE SCHOOL DISTRICT,New York,185,3605370,21-Suburb: Large
BRIDGEPORT EXEMPTED VILLAGE,Ohio,754,3904523,23-Suburb: Small
BRIDGEPORT ISD,Texas,2133,4811340,42-Rural: Distant
BRIDGEPORT PUBLIC SCHOOLS,Nebraska,525,3100105,43-Rural: Remote
BRIDGEPORT SCHOOL DISTRICT,Connecticut,20022,0900450,12-City: Mid-size
BRIDGEPORT SCHOOL DISTRICT,Washington,772,5300720,43-Rural: Remote
BRIDGEPORT-SPAULDING COMMUNITY SCHOOL DISTRICT,Michigan,1477,2606780,22-Suburb: Mid-size
BRIDGER K-12 SCHOOLS,Montana,203,3004800,43-Rural: Remote
BRIDGES CHARTER DISTRICT,CALIFORNIA,420,0601879,12-City: Mid-size
BRIDGES COMMUNITY ACADEMY DBA BRIDGES PREPARATORY ACADEMY,Ohio,102,3900502,32-Town: Distant
BRIDGES PCS,District of Columbia,369,1100055,11-City: Large
BRIDGES PREPARATORY ACADEMY DISTRICT,CALIFORNIA,151,0602564,21-Suburb: Large
BRIDGETON CITY SCHOOL DISTRICT,New Jersey,6163,3402250,31-Town: Fringe
BRIDGETON PUBLIC CHARTER SCHOOL,NEW JERSEY,105,3400782,31-Town: Fringe
BRIDGEVILLE ELEMENTARY,California,39,0606000,43-Rural: Remote
BRIDGEWATER PUBLIC SCHOOLS,Maine,0,2300004,43-Rural: Remote
BRIDGEWATER-EMERY 30-3,South Dakota,328,4621420,43-Rural: Remote
BRIDGEWATER-RARITAN REGIONAL SCHOOL DISTRICT,New Jersey,7864,3402280,21-Suburb: Large
BRIDGEWATER-RAYNHAM,Massachusetts,5682,2503030,21-Suburb: Large
BRIDGEWAY PREPARATORY ACADEMY,TEXAS,108,4801462,11-City: Large
BRIDGING COMMUNITIES REG CAREER & TECHNICAL CENTER,Virginia,†,5100255,42-Rural: Distant
BRIDGMAN PUBLIC SCHOOLS,Michigan,810,2606840,23-Suburb: Small
BRIELLE BORO SCHOOL DISTRICT,New Jersey,476,3402310,21-Suburb: Large
BRIGANTINE PUBLIC SCHOOL DISTRICT,New Jersey,381,3402340,21-Suburb: Large
BRIGGS,Oklahoma,390,4005430,42-Rural: Distant
BRIGGS ELEMENTARY,California,457,0606030,41-Rural: Fringe
BRIGHT BEGINNINGS SCHOOL INC. (4362),Arizona,199,0400071,11-City: Large
BRIGHT LOCAL,Ohio,719,3904761,42-Rural: Distant
BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,New York,240,3600032,12-City: Mid-size
BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,New York,316,3600033,12-City: Mid-size
BRIGHTON #1 SCHOOL DISTRICT,Wisconsin,196,5501650,42-Rural: Distant
BRIGHTON AREA SCHOOLS,Michigan,5796,2606870,22-Suburb: Mid-size
BRIGHTON CENTRAL SCHOOL DISTRICT,New York,3461,3605460,21-Suburb: Large
BRIGHTON PLT SCHOOL DEPARTMENT,Maine,0,2314811,43-Rural: Remote
BRIGHTON SCHOOL DISTRICT,Vermont,130,5002610,43-Rural: Remote
BRILLA CARITAS CHARTER SCHOOL,NEW YORK,417,3601221,11-City: Large
BRILLA COLLEGE PREPARATORY CHARTER SCHOOL,New York,739,3601108,11-City: Large
BRILLA NEW JERSEY CHARTER SCHOOL,NEW JERSEY,362,3480367,21-Suburb: Large
BRILLA PAX CHARTER SCHOOL,NEW YORK,325,3601222,11-City: Large
BRILLA VERITAS CHARTER SCHOOL,NEW YORK,569,3601165,11-City: Large
BRILLANTE ACADEMY,TEXAS,354,4801475,13-City: Small
BRILLION SCHOOL DISTRICT,Wisconsin,965,5501680,42-Rural: Distant
BRIMFIELD,Massachusetts,258,2503060,41-Rural: Fringe
BRIMFIELD CUSD 309,Illinois,587,1707200,42-Rural: Distant
BRIMLEY AREA SCHOOLS,Michigan,463,2606900,42-Rural: Distant
BRINKLEY SCHOOL DISTRICT,Arkansas,432,0503630,43-Rural: Remote
BRINNON SCHOOL DISTRICT,Washington,72,5300750,42-Rural: Distant
BRISBANE ELEMENTARY,California,484,0606060,21-Suburb: Large
BRISTOL,Tennessee,4044,4700360,13-City: Small
BRISTOL #1 SCHOOL DISTRICT,Wisconsin,830,5501710,21-Suburb: Large
BRISTOL BAY BOROUGH SCHOOL DISTRICT,Alaska,106,0200030,43-Rural: Remote
BRISTOL BOROUGH SD,Pennsylvania,1137,4204200,21-Suburb: Large
BRISTOL CITY PUBLIC SCHOOLS,Virginia,2167,5100450,23-Suburb: Small
BRISTOL COUNTY AGRICULTURAL,Massachusetts,631,2503070,41-Rural: Fringe
BRISTOL LOCAL,Ohio,418,3905011,41-Rural: Fringe
BRISTOL PUBLIC SCHOOLS,Maine,189,2303600,42-Rural: Distant
BRISTOL SCHOOL DISTRICT,Connecticut,7713,0900510,21-Suburb: Large
BRISTOL TOWNSHIP SD,Pennsylvania,5985,4204230,21-Suburb: Large
BRISTOL WARREN,Rhode Island,2693,4400065,21-Suburb: Large
BRISTOL-PLYMOUTH REGIONAL VOCATIONAL TECHNICAL,Massachusetts,1335,2503080,21-Suburb: Large
BRISTOW,Oklahoma,1685,4005460,42-Rural: Distant
BRITTAN ELEMENTARY,California,539,0606090,41-Rural: Fringe
BRITTON DEERFIELD SCHOOLS,Michigan,341,2606930,42-Rural: Distant
BRITTON-HECLA SCHOOL DISTRICT 45-4,South Dakota,468,4600041,43-Rural: Remote
BRIYA PCS,District of Columbia,65,1100016,11-City: Large
BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,New York,1661,3600005,42-Rural: Distant
BROADDUS ISD,Texas,377,4811430,43-Rural: Remote
BROADUS ELEM,Montana,153,3000006,43-Rural: Remote
BROADVIEW ELEM,Montana,125,3004890,42-Rural: Distant
BROADVIEW H S,Montana,50,3004920,42-Rural: Distant
BROADWATER,Montana,†,3000013,43-Rural: Remote
BROADWAY ACADEMY,Ohio,475,3901430,11-City: Large
BROCK ISD,Texas,2169,4811460,42-Rural: Distant
BROCKPORT CENTRAL SCHOOL DISTRICT,New York,3341,3605580,31-Town: Fringe
BROCKTON,Massachusetts,15280,2503090,21-Suburb: Large
BROCKTON ELEM,Montana,93,3005010,43-Rural: Remote
BROCKTON H S,Montana,49,3005040,43-Rural: Remote
BROCKWAY AREA SD,Pennsylvania,840,4204260,42-Rural: Distant
BROCTON CENTRAL SCHOOL DISTRICT,New York,528,3605610,42-Rural: Distant
BRODHEAD SCHOOL DISTRICT,Wisconsin,975,5501740,42-Rural: Distant
BROKEN ARROW,Oklahoma,19882,4005490,21-Suburb: Large
BROKEN BOW,Oklahoma,1605,4005520,42-Rural: Distant
BROKEN BOW PUBLIC SCHOOLS,Nebraska,892,3100011,43-Rural: Remote
BRONAUGH R-VII,Missouri,169,2905910,42-Rural: Distant
BRONSON COMMUNITY SCHOOL DISTRICT,Michigan,963,2606960,42-Rural: Distant
BRONTE ISD,Texas,232,4811490,43-Rural: Remote
BRONX ACADEMY OF PROMISE CHARTER SCHOOL,New York,601,3600956,11-City: Large
BRONX ARTS AND SCIENCE CHARTER SCHOOL,NEW YORK,428,3601199,11-City: Large
BRONX CHARTER SCHOOL FOR BETTER LEARNING,New York,532,3600089,11-City: Large
BRONX CHARTER SCHOOL FOR BETTER LEARNING II,NEW YORK,423,3601127,11-City: Large
BRONX CHARTER SCHOOL FOR EXCELLENCE,New York,790,3600113,11-City: Large
BRONX CHARTER SCHOOL FOR EXCELLENCE 2,NEW YORK,528,3601142,11-City: Large
BRONX CHARTER SCHOOL FOR EXCELLENCE 3,NEW YORK,512,3601157,11-City: Large
BRONX CHARTER SCHOOL FOR EXCELLENCE 4,NEW YORK,452,3601180,11-City: Large
BRONX CHARTER SCHOOL FOR EXCELLENCE 5,NEW YORK,329,3601200,11-City: Large
BRONX CHARTER SCHOOL FOR THE ARTS,New York,588,3600063,11-City: Large
BRONX COMMUNITY CHARTER SCHOOL,New York,492,3600968,11-City: Large
BRONX PREPARATORY CHARTER SCHOOL,New York,860,3600042,11-City: Large
BRONXVILLE UNION FREE SCHOOL DISTRICT,New York,1570,3605640,21-Suburb: Large
BROOKE CHARTER SCHOOL,Massachusetts,2216,2500071,11-City: Large
BROOKE COUNTY SCHOOLS,West Virginia,2213,5400150,23-Suburb: Small
BROOKELAND ISD,Texas,381,4811520,43-Rural: Remote
BROOKESMITH ISD,Texas,227,4811550,43-Rural: Remote
BROOKFIELD,Massachusetts,289,2503120,41-Rural: Fringe
BROOKFIELD CENTRAL SCHOOL DISTRICT,New York,203,3605670,42-Rural: Distant
BROOKFIELD ENGINEERING SCIENCE TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,693,0602501,42-Rural: Distant
BROOKFIELD LAGRANGE PARK SD 95,Illinois,1387,1707320,21-Suburb: Large
BROOKFIELD LOCAL,Ohio,964,3905012,41-Rural: Fringe
BROOKFIELD R-III,Missouri,923,2905940,33-Town: Remote
BROOKFIELD SCHOOL DISTRICT,Connecticut,2542,0900540,22-Suburb: Mid-size
BROOKHAVEN SCHOOL DISTRICT,Mississippi,2429,2800840,33-Town: Remote
BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,New York,3494,3615780,21-Suburb: Large
BROOKINGS SCHOOL DISTRICT 05-1,South Dakota,3546,4608520,33-Town: Remote
BROOKINGS-HARBOR SD 17C,Oregon,1275,4102310,33-Town: Remote
BROOKLAND SCHOOL DISTRICT,Arkansas,3213,0503640,41-Rural: Fringe
BROOKLAWN PUBLIC SCHOOL DISTRICT,New Jersey,281,3402370,21-Suburb: Large
BROOKLIN PUBLIC SCHOOLS,Maine,71,2303610,43-Rural: Remote
BROOKLINE,Massachusetts,7023,2503150,21-Suburb: Large
BROOKLINE SCHOOL DISTRICT,New Hampshire,552,3302070,41-Rural: Fringe
BROOKLYN ASCEND CHARTER SCHOOL,New York,951,3600966,11-City: Large
BROOKLYN ASCEND CHARTER SCHOOL 6,NEW YORK,141,3680987,11-City: Large
BROOKLYN CENTER COMMUNITY SCHOOLS,Minnesota,2174,2706240,21-Suburb: Large
BROOKLYN CHARTER SCHOOL (THE),New York,203,3600045,11-City: Large
BROOKLYN CITY,Ohio,1138,3904365,21-Suburb: Large
BROOKLYN DREAMS CHARTER SCHOOL,New York,489,3601015,11-City: Large
BROOKLYN EMERGING LEADERS ACADEMY CHARTER SCHOOL,NEW YORK,219,3601160,11-City: Large
BROOKLYN EXCELSIOR CHARTER SCHOOL,New York,530,3600116,11-City: Large
BROOKLYN LABORATORY CHARTER SCHOOL,NEW YORK,628,3601111,11-City: Large
BROOKLYN PROSPECT CHARTER SCHOOL - CSD 13.2,NEW YORK,580,3601134,11-City: Large
BROOKLYN PROSPECT CHARTER SCHOOL - CSD 15.2,NEW YORK,1259,3601206,11-City: Large
BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13,NEW YORK,797,3601150,11-City: Large
BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15,New York,20,3600991,11-City: Large
BROOKLYN RISE CHARTER SCHOOL,NEW YORK,336,3601204,11-City: Large
BROOKLYN SCHOLARS CHARTER SCHOOL,New York,728,3600989,11-City: Large
BROOKLYN SCHOOL DISTRICT,Connecticut,852,0900570,32-Town: Distant
BROOKLYN UD 188,Illinois,118,1723640,21-Suburb: Large
BROOKLYN URBAN GARDEN CHARTER SCHOOL,New York,309,3601100,11-City: Large
BROOKLYN-GUERNSEY-MALCOM COMM SCHOOL DISTRICT,Iowa,568,1905490,43-Rural: Remote
BROOKS COUNTY,Georgia,2179,1300540,42-Rural: Distant
BROOKS COUNTY ISD,Texas,1180,4811580,33-Town: Remote
BROOKSIDE CHARTER SCH.,Missouri,800,2900024,11-City: Large
BROOKSVILLE PUBLIC SCHOOLS,Maine,69,2303640,42-Rural: Distant
BROOKVILLE AREA SD,Pennsylvania,1288,4204320,41-Rural: Fringe
BROOKVILLE LOCAL,Ohio,1547,3904867,31-Town: Fringe
BROOKWOOD SD 167,Illinois,1098,1716950,21-Suburb: Large
BROOME STREET ACADEMY CHARTER HIGH SCHOOL,New York,270,3601043,11-City: Large
BROOME-DELAWARE-TIOGA BOCES,New York,0,3680140,22-Suburb: Mid-size
BRORSON ELEM,Montana,5,3005130,42-Rural: Distant
BROWARD,Florida,243553,1200180,21-Suburb: Large
BROWERVILLE PUBLIC SCHOOL DISTRICT,Minnesota,566,2706300,43-Rural: Remote
